CUE,RQ
0,1
0.01,1.005076142
0.02,1.010309278
0.03,1.015706806
0.04,1.021276596
0.05,1.027027027
0.06,1.032967033
0.07,1.039106145
0.08,1.045454545
0.09,1.052023121
0.1,1.058823529
0.11,1.065868263
0.12,1.073170732
0.13,1.080745342
0.14,1.088607595
0.15,1.096774194
0.16,1.105263158
0.17,1.11409396
0.18,1.123287671
0.19,1.132867133
0.2,1.142857143
0.21,1.153284672
0.22,1.164179104
0.23,1.175572519
0.24,1.1875
0.25,1.2
0.26,1.213114754
0.27,1.226890756
0.28,1.24137931
0.29,1.256637168
0.3,1.272727273
0.31,1.289719626
0.32,1.307692308
0.33,1.326732673
0.34,1.346938776
0.35,1.368421053
0.36,1.391304348
0.37,1.415730337
0.38,1.441860465
0.39,1.469879518
0.4,1.5
0.41,1.532467532
0.42,1.567567568
0.43,1.605633803
0.44,1.647058824
0.45,1.692307692
0.46,1.741935484
0.47,1.796610169
0.48,1.857142857
0.49,1.924528302
0.5,2
0.51,2.085106383
0.52,2.181818182
0.53,2.292682927
0.54,2.421052632
0.55,2.571428571
0.56,2.75
0.57,2.965517241
0.58,3.230769231
0.59,3.565217391
0.6,4
